"date","bike_counts","weekEnd","Wind_avg","Precip","Snowfall","Snowdepth","Temp_avg","Temp_max","Temp_min","Wind_fast2m","Wind_fast5s","FOG","Thunder","IcePellets","Smoke"
"2018-03-03",1551,TRUE,28.41,0,0,0,40,48,36,38.9,51,0,0,0,0
"2018-03-04",1430,TRUE,21.7,0,0,0,41,45,34,30,38.9,0,0,0,0
"2018-03-05",3059,FALSE,19.46,0,0.1,0,37,42,32,29.1,34,0,0,0,0
"2018-03-06",3462,FALSE,10.29,0,0,0,37,43,30,18.1,23,0,0,0,0
"2018-03-07",495,FALSE,18.57,1.02,2.8,0,36,37,32,36,47,1,0,0,0
"2018-03-08",1335,FALSE,15.21,0,0,1.2,36,41,33,21.9,25.9,1,0,0,0
"2018-03-09",2199,FALSE,18.79,0,0,0,36,44,30,30,36.9,0,0,0,0
"2018-03-10",1604,TRUE,16.33,0,0,0,36,42,32,23.9,30,0,0,0,0
"2018-03-11",1701,TRUE,11.63,0,0,0,38,46,32,23,28,0,0,0,0
"2018-03-12",2839,FALSE,13.42,0.03,0,0,38,45,30,23.9,30,0,0,0,0
"2018-03-13",1075,FALSE,20.13,0.21,1.2,1.2,36,42,33,31.1,38,1,0,0,0
"2018-03-14",2580,FALSE,22.59,0,0,0,35,42,31,32,38.9,0,0,0,0
"2018-03-15",2754,FALSE,19.69,0,0,0,38,48,32,28,35.1,0,0,0,0
"2018-03-16",2419,FALSE,20.58,0,0,0,37,41,31,33.1,40,0,0,0,0
"2018-03-17",1717,TRUE,16.55,0,0,0,36,50,27,28,34,0,0,0,0
"2018-03-18",1453,TRUE,13.2,0,0,0,36,44,28,28,33.1,0,0,0,0
"2018-03-19",3186,FALSE,6.93,0,0,0,38,47,29,16.1,21,0,0,0,0
"2018-03-20",2489,FALSE,11.86,0.03,0,0,34,37,30,21.9,27.1,0,0,1,0
"2018-03-21",334,FALSE,19.01,0.88,8.4,0,35,38,31,32,40,1,0,1,0
"2018-03-22",978,FALSE,17.67,0.03,0.3,9.1,37,48,31,25.1,33.1,1,0,0,0
"2018-03-23",2512,FALSE,12.08,0,0,5.1,41,49,33,23,32,0,0,0,0
"2018-03-24",2227,TRUE,12.97,0,0,2,42,51,35,19.9,25.1,0,0,0,0
"2018-03-25",1564,TRUE,13.2,0,0,0,40,45,32,23,29.1,0,0,0,0
"2018-03-26",3577,FALSE,8.95,0,0,0,38,47,29,21,25.9,0,0,0,0
"2018-03-27",3465,FALSE,6.26,0,0,0,36,42,30,13,17,0,0,0,0
"2018-03-28",3129,FALSE,7.38,0.03,0,0,41,49,37,16.1,18.1,1,0,0,0
"2018-03-29",2871,FALSE,5.59,0.03,0,0,46,49,44,15,18.1,1,0,0,0
"2018-03-30",2073,FALSE,13.87,0.09,0,0,49,62,43,23.9,31.1,1,0,0,0
"2018-03-31",2916,TRUE,15.88,0,0,0,45,52,37,25.1,32,0,0,0,0
"2018-04-01",2181,TRUE,12.75,0,0,0,48,63,41,23.9,28,0,0,0,0
"2018-04-02",978,FALSE,9.4,0.33,3.7,2,39,42,32,18.1,21.9,1,0,0,0
"2018-04-03",1592,FALSE,8.05,0.14,0,0,39,42,34,17,19.9,1,0,0,0
"2018-04-04",2274,FALSE,17.45,0.17,0,0,46,57,40,38,52.1,1,0,0,0
"2018-04-05",3121,FALSE,18.34,0,0,0,41,46,33,29.1,38,0,0,0,0
"2018-04-06",2110,FALSE,12.08,0.08,0,0,41,53,32,30,35.1,1,0,0,0
"2018-04-07",1990,TRUE,12.97,0,0,0,44,48,37,25.1,30,0,0,0,0
"2018-04-08",1995,TRUE,17.67,0,0,0,38,46,32,29.1,38,0,0,0,0
"2018-04-09",3323,FALSE,12.53,0,0,0,37,45,30,21.9,25.9,0,0,0,0
"2018-04-10",3185,FALSE,10.51,0.01,0,0,42,51,37,19.9,28,1,0,0,1
"2018-04-11",4352,FALSE,10.29,0,0,0,42,49,31,21,23,0,0,0,0
"2018-04-12",4613,FALSE,13.87,0,0,0,46,54,40,31.1,38,0,0,0,0
"2018-04-13",5729,FALSE,12.75,0,0,0,56,70,48,21,25.1,0,0,0,0
"2018-04-14",5395,TRUE,12.3,0,0,0,55,67,45,32,40.9,1,0,0,1
"2018-04-15",1032,TRUE,20.36,0.25,0,0,43,45,38,28,36,1,0,0,0
"2018-04-16",1251,FALSE,24.16,1.53,0,0,47,57,40,40.9,50.1,1,1,0,0
"2018-04-17",3772,FALSE,17.9,0,0,0,45,48,39,25.9,33.1,0,0,0,0
"2018-04-18",4521,FALSE,14.99,0,0,0,44,53,37,23,28,0,0,0,0
"2018-04-19",2664,FALSE,14.09,0.15,0,0,45,48,38,29.1,36.9,1,0,0,0
"2018-04-20",3709,FALSE,18.79,0,0,0,43,52,36,28,34,0,0,0,0
"2018-04-21",3975,TRUE,11.63,0,0,0,47,61,38,23,28,0,0,0,0
"2018-04-22",4311,TRUE,10.51,0,0,0,51,61,41,23,27.1,0,0,0,0
"2018-04-23",6043,FALSE,8.28,0,0,0,50,61,39,18.1,21,0,0,0,0
"2018-04-24",5857,FALSE,12.3,0,0,0,51,62,41,23,28,1,0,0,0
"2018-04-25",1717,FALSE,11.63,0.34,0,0,54,57,51,25.1,34,1,0,0,0
"2018-04-26",6654,FALSE,12.53,0.04,0,0,58,68,51,23,29.1,1,0,0,0
"2018-04-27",2578,FALSE,8.5,0.12,0,0,54,56,48,21.9,28,1,0,0,0
"2018-04-28",4830,TRUE,9.62,0.01,0,0,52,60,45,19.9,23,1,0,0,1
"2018-04-29",3554,TRUE,14.76,0.13,0,0,54,59,47,25.9,32,1,0,0,0
"2018-04-30",3875,FALSE,16.11,0,0,0,49,53,46,32,40,0,0,0,0
